fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Type,tS1,tS2,tS3,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,overplotting
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,White,18.31762168,16.81872184,-6.578620498,-3.320115622,-2.293394418,-0.091376185,0.182307084,-2.073579412,0.319688661,0.032900726,-0.128592216,0.274946581,0.120242914,0.115782201,0
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,White,15.62786932,-16.20393047,15.81196451,0.349068961,0.17845722,0.127398314,-0.276169955,0.22779004,-0.86076131,-0.785146503,-0.119644925,-0.675124677,-0.846248153,0.053489383,0
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,White,-16.68891033,-13.49415312,-7.607929085,0.84475773,0.380415693,2.068805412,-0.446041338,-0.040710301,0.765403735,-1.012213903,-0.26475141,-0.845999934,0.043293121,0.122206078,0
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,White,20.60399283,-14.26125669,10.72741791,0.308029094,0.242481339,-0.000960143,0.18313799,0.393351278,-1.416501446,-0.675077585,0.545559512,-0.504798091,-0.855852734,-0.337311071,0
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,White,-16.61373534,-13.91573282,-7.508117731,0.015442712,1.219610298,-0.144716665,-0.592843993,0.380983789,-0.123433899,-0.447850383,0.156055048,-0.127359141,0.223456088,0.095118538,0
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,White,-1.099728747,5.615986392,-13.66741973,-1.128075282,-0.847237522,-0.863224078,-0.338357269,2.099562979,1.829716335,-2.310853589,1.582996352,0.38612784,0.312603703,-0.062950035,0
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,White,28.23464965,2.317815019,-3.643980476,-0.777721495,-0.457977686,0.230551082,-0.246857799,-0.25242565,0.506404813,-0.62286694,-0.111350122,0.061143033,-0.656195082,-0.134877677,0
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,White,6.766220393,-3.569153174,28.71263853,-2.399750086,-0.553878614,-0.021126221,0.17116163,-0.411338763,0.147523385,-0.082385772,-0.440353386,0.134215026,-0.86277145,-0.054399174,0
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,White,3.587528454,-15.29993341,-3.09883092,-0.214169286,1.019359441,0.288801471,-0.540048743,0.354668449,0.011530346,-0.585714219,-0.534451024,-0.401366665,0.009666838,-0.16157368,0
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,White,13.42741818,-1.143276462,24.30820526,0.257158279,-1.03344937,0.904838577,2.158817655,1.564419099,-1.782332674,0.153048465,0.033899275,0.625051711,-1.129209241,-0.261503819,0
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,White,-5.454844036,-19.60337814,-7.875463981,0.747856352,0.590093346,-0.499534107,1.308113607,1.131081969,-0.660078746,-0.080592076,-0.884615353,0.094608387,0.001892987,0.203785139,0
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,White,3.365880235,14.18595952,-20.66197142,-2.406633172,-1.845759485,-0.40647723,-0.574956024,0.147650735,-0.398839848,0.863409418,0.943732064,-0.936295378,0.501351789,0.706425522,0
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,White,32.53655365,4.601089743,-2.914291802,-2.295262028,-1.636919116,-1.331093382,-0.189708374,-1.233239484,-0.961772014,0.458676395,0.809337408,-0.528717349,-0.720850705,0.915181628,0
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,White,4.716901899,-4.557382878,9.68934521,-2.907007389,-1.659941217,0.154456473,-0.584172284,-0.004024314,0.44536294,0.120984379,-0.104894708,0.344186792,0.092686523,0.021924273,0
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,White,-7.480505831,0.753037773,4.702079236,-3.330003707,-1.824094045,-0.296506302,-0.224470319,0.380630115,0.444492229,0.719174772,0.422692234,-0.174779997,0.618741023,0.044976992,0
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,White,-20.48178565,-0.027780069,-6.577397798,0.830423823,-0.137858718,1.643664463,-0.573446248,-0.162044176,0.181996743,-0.190940666,-1.069182434,0.652707339,0.094918735,0.23614511,0
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,White,9.031341157,0.456171241,2.923099955,-0.961554877,1.370774633,-1.135434962,1.144334942,0.869627552,-0.176382286,0.201327163,0.820489227,-1.029857481,-0.459734051,0.203413213,0
